Codigo;RazaoSocial;Código do Grupo;Grupo de Insumos;Contato;Fone;WhatsApp;Email;CNPJ;Insc. Estadual;Endereco;Numero;Bairro;Cidade;Estado;Cep;Cartão Crédito;;;;;;;;;;;;
199;LOJA DO PAULO COMERCIO LTDA;29;HIDROSANITÁRIO E GAS;Rodolfo;(31)2111-8208;(31)97515-6198;rodolfo@lojadopaulo.com.br;16.515.454/0001-35;062.037.833-0062;Av. Amazonas;939 / 201;Centro;BELO HORIZONTE;MG;30180-000;SIM;;;;;;;;;;;;
248;PARADA DO PVC  MAT. CONST. LTDA;29;HIDROSANITÁRIO E GAS;Thiago / Wanderley;(31)3373-3699 ;(31)0000;compras@paradapvc.com.br;03.808.628/0001-06;062.084.631-0065;Av. Barao Homem de Melo;1500;Jardim América;BELO HORIZONTE;MG;30421-484;SIM;;;;;;;;;;;;
318;TUMA COMERCIAL LTDA;29;HIDROSANITÁRIO E GAS;Roberto Mauro / Roberto;(31)3298-2012 ;(31)3298-2000;aquiles@tumacomercial.com.br;21.576.319/0001-30;062.476.759-0018;Av. Teresa Cristina;1547;Calafate;BELO HORIZONTE;MG;30410-600;SIM;;;;;;;;;;;;
4;ABCK COMERCIO DE MATERIAL ELETRICO LTDA;30;IMPERMEABILIZAÇÃO;Willian / Bruno ;(31)3481-1890 ;(31)98272-9729;abacoprojetos@gmail.com, abaco.adm@gmail.com;03.814.354/0001-68;062.151202-0043;Rua Pirite;465;Pompeia;BELO HORIZONTE;MG;30280-300;NÃO;;;;;;;;;;;;
43;BH IMPERMABILIZANTES LTDA;30;IMPERMEABILIZAÇÃO;Lucas Gontijo / Gustavo;(31)3378-2800;(31)98278-8537;bhimper@gmail.com, bhimpermeabilizantes@gmail.com;05.613.339/0001-87;062.231.367-0090;Av Barão Homem de Melo;3123;Estoril;BELO HORIZONTE;MG;30494-085;SIM;;;;;;;;;;;;
55;CASA DO IMPERMEABILIZANTE LTDA;30;IMPERMEABILIZAÇÃO;Raquel / Rogério;(31)3411-6666;(31)0000;contato@casadoimpermeabilizante.com.br;22.253.728/0001-68;062.505.891-0070;Rua Magnolia;637;Pedro II;BELO HORIZONTE;MG;31230-060;SIM;;;;;;;;;;;;
167;IMPERALL IMPERMEABILIZAÇÃO E OBRAS CIVIS LTDA;30;IMPERMEABILIZAÇÃO;Márcio Eduardo / Rogério;(31)3225-5080;(31)98489-7068;marcio@imperal.com.br;04.593.093/0001-66;062.329.013-0028;Rua Gonçalves Dias;229 SL 401;Funcionários;BELO HORIZONTE;MG;30140-090;NÃO;;;;;;;;;;;;
179;IMPERMEABILIZAÇÕES ISOLAR S/A;30;IMPERMEABILIZAÇÃO;Augusto;(31)3383-3277 ;(31)99321-9352;isolar@isolar.com.br;19.524.883/0001-67;062.308.276-0006;Rua Canoas;871;Betânia;BELO HORIZONTE;MG;30580-040;NÃO;;;;;;;;;;;;
170;IMPERTRADE INDUSTRIA E COMERCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA;30;IMPERMEABILIZAÇÃO;Regina / Vitor / Marlene;(31)3462-5575;(31)0000;comercial@dallminas.com.br, regina@dallminas.com.br;05.512.402/0002-70;062.223.907-0101;Rua Dom Joaquim Selvério;411;Coração Euscarístico;BELO HORIZONTE;MG;30535-620;NÃO;;;;;;;;;;;;
171;IMPERVIA LTDA;30;IMPERMEABILIZAÇÃO;Otília;(31)3372-4333;(31)99107-6629;impervia@impervia.com.br;02.781.084/0001-73;062.989.783-0013;Rua Juscelino Barbosa;359;Nova Suissa;BELO HORIZONTE;MG;30480-490;SIM;;;;;;;;;;;;
205;M. GONÇALVES COMERCIAL LTDA;30;IMPERMEABILIZAÇÃO;Daniel;(31)3491-7688 ;(31)98718-3513;marcilio@mgimper.com.br, vendas@mgimper.com.br   ;21.167.903/0001-31;062.652.057-0060;Av. Guarapari;87;Santa Amélia;BELO HORIZONTE;MG;31560-300;SIM;;;;;;;;;;;;
263;PREFER BH DISTRIBUIDORA DE MATERIAIS DE CONSTRUCAO E IMPERMEABILIZANTES LTDA;30;IMPERMEABILIZAÇÃO;Felipe;(31)3383-3040 ;(31)98480-0449;cleverson@preferbh.com.br, felipe@preferbh.com.br;36.321.807/0001-73;003666810.00-40;Rua Senhora do Porto;192;Palmeiras;BELO HORIZONTE;MG;30575-590;SIM;;;;;;;;;;;;
277;REVEST REVESTIMENTOS E IMPERMEABILZAÇÕES LTDA;30;IMPERMEABILIZAÇÃO;Emir Claudio;(31)3481-3303;(31)0000;revest.geral@gmail.com;19.468.933/0001-36;062.422.148-0024;Rua Petrolina;815;Sagrada Família;BELO HORIZONTE;MG;31030-370;;;;;;;;;;;;;
291;SIKA SA;30;IMPERMEABILIZAÇÃO;Celio / Gustavo;(31)3334-9337;(31)0000;sika.impermont@uol.com.br;33.081.704/0001-95;346.929.534-0099;Av.  Dr. Alberto Jackson Byington;1525;Industrial Anhanguera;OSASCO;SP;06276-000;NÃO;;;;;;;;;;;;
180;ISOPOR COMERCIAL LTDA;31;ISOLANTE TERMICO E ACÚSTICO;Sérgio / Luiz;(31)3490-7272 ;(31)98878-9786;sergio@isoferes.com.br, vendas11@isoferes.com.br;09.351.902/0001-47;001.060.651-0060;Rua Viseu;650;São Francisco;BELO HORIZONTE;MG;31255-230;SIM;;;;;;;;;;;;
39;BEAGRASS - BH GRAMAS LTDA;32;GRAMA ESMERALDA, SÃO CARLOS, ZEON, BERMUDA;Pedro;(31)3223-7577 ;(31)99971-7667;bhgramas@uai.com.br, pedror@uai.com.br;01.061.057/0001-63;062.979.792-0045;Rua Padre Chaves;210;Centro;Caetanópolis;MG;35770-000;NÃO;;;;;;;;;;;;
85;COMERCIAL FORTESOLO ME;32;JARDINAGEM E PAISAGISMO;Adriano Souza;(31)3285-3161 ;(31)99621-3067;comercialfortesolo@gmail.com;26.382.487/0001-08;004.036.703-0039;Av. N. Sra. do Carmo ;159;Sion;BELO HORIZONTE;MG;30310-000;SIM;;;;;;;;;;;;
104;DEFLOR DEFESA FLORESTAL LTDA;32;JARDINAGEM E PAISAGISMO;Paula Leão / Márcio;(31)3284-5622 ;(31)99246-0519;comercial@deflor.com.br, contratos2@deflor.com.br;20.286.415/0001-80;713.199.012-0040;Rua Dr. Horta;16/102;Centro;Viçosa;MG;36570-045;NÃO;;;;;;;;;;;;
144;FLORICULTURA BEM-TE-VI LTDA;32;JARDINAGEM E PAISAGISMO;Paulo Cesar;(31) 3486-3171 ;(31)0000;floriculturabemtevi@gmail.com;07.272.436/0001-89;062.339.715-0000;Rua Flor de Guambé;215;União;BELO HORIZONTE;MG;31160-290;SIM;;;;;;;;;;;;
145;FLORICULTURA FORTE GRAMA LTDA;32;JARDINAGEM E PAISAGISMO;Dayana;(31)3371-1022 / 3334-4000;(31)99124-4489;fortegrama@florabeijaflor.com.br;06.990.122/0001-59;062.313.325-0085;Avenida Silva Lobo;2373;Grajaú;BELO HORIZONTE;MG;30431-191 ;SIM;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;33;JUNTA PLASTICA;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
284;CASA ÚNICA MATERIAIS PARA CONSTRUÇÃO LTDA;33;JUNTA PLASTICA;Vanderlan / Claudio;(31)2126-1000 ;(31)99994-3031;vanderlan.miranda@santacruzacabamentos.com.br;25.618.174/0001-43;062.017.715-0091;Av. Presidente Carlos Luz;2000F;Aparecida;BELO HORIZONTE;MG;31250-810;SIM;;;;;;;;;;;;
61;CEMACON MATERIAIS DE CONSTRUÇÃO LTDA;33;JUNTA PLASTICA;Calisto;(31)3201-6266;(31)997559831;contato.cemacon@gmail.com;01.590.163/0001-34;062.336.639-0050;Av. D. Pedro II;1100;Bonfim;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
74;CNR MATERIAIS DE CONSTRUÇÕES LTDA;33;JUNTA PLASTICA;Ana Claudia / Ferreira;(31)3392-7272;(31)99948-9915;contagem@cnr.com.br;13.556.759/0010-98;001.764.345-0870;Via Expressa;2.525;Água Branca;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
259;PONTO DO AZULEJO LTDA;33;JUNTA PLASTICA;Geraldo (Dino);(31)3419-9400;(31)99253-7848;dino@pontodoazulejo.com.br;65.310.633/0001-41;062.748.265-0015;Avenida Abilio Machado;1415;Alipio de Melo;BELO HORIZONTE;MG;30830-440;SIM;;;;;;;;;;;;
312;TERRA REVESTIMENTOS LTDA;33;JUNTA PLASTICA;Carlos / Joselei;(31)3286-4650 ;(31)99742-5551;vendas@tile.com.br;38.700.985/0001-30; 062.196.071-0000;Rua Outono;81;Carmo;BELO HORIZONTE;MG;30310-020;SIM;;;;;;;;;;;;
60;CASA MENDANHA LTDA;34;LIMPEZA;Emanuel;(31)3789-1351 ;(31)3789-1351;casamendanha@hotmail.com;21.304.167/0002-05;062.476.141-0107;Av. Contorno;2626;Santa Efigenia;BELO HORIZONTE;MG;30110-014;SIM;;;;;;;;;;;;
257;POLIPLAC DISTRIBUIDORA LTDA;34;LIMPEZA;Vagner / David;(31)3348-6300 ;(31)3348-6300;vagner3v@yahoo.com.br, poliplac@poliplacbhte.com.br,;19.802.941/0001-77;062.441.599-0036;Rua Tremedal;110;Carlos Prates;BELO HORIZONTE;MG;30710-180;SIM;;;;;;;;;;;;
23;ARCOMINAS LTDA;35;LOCAÇÃO;Jesus / Sérgio ;(31)3352-1000 ;(31)98477-2399;arcominas@arcominas.com.br;17.088.584/0001-00;186.362.446-0032;Rua Rio Tocantins;1317;Riacho das Pedras;CONTAGEM;MG;32280-170;NÃO;;;;;;;;;;;;
119;ELEVA LOCADORA DE EQUIPAMENTOS LTDA;35;LOCAÇÃO;Mariana;(31)3441-5554 ;(31)99134-3737;elevalocadora@yahoo.com.br;31.822.215/0001-11;003.301.318-0099;Rua Alcides Lins;161;Venda Nova;BELO HORIZONTE;MG;31510-030;NÃO;;;;;;;;;;;;
156;GMP LOCAÇÕES DE MAQUINAS E SERVIÇOS LTDA;35;LOCAÇÃO;Gustavo / Elizete;(31)3494-4666                                 ;(31)98738-7307;gustavo@gemape.com.br, elizetegomes@gemape.com.br;08.184.170/0001-85;001.015.247-0093;Rua Brasília;13;Chácaras Reunidas São Vicente;SÃO JOSÉ DA LAPA;MG;33350-000;NÃO;;;;;;;;;;;;
175;INDÚSTRIA DE TRANSFORMADORES KING LTDA;35;LOCAÇÃO;Alcides / Fabiane;(31)3462-6498 ;(31)99673-0817;comercial@trafoking.com.br, gerente@trafoking.com.br;17.280.173/0001-03;062.009931-0022;Rua São Pascoal;110;Caiçara;BELO HORIZONTE;MG;30.770-230;NÃO;;;;;;;;;;;;
193;LOC MASTER LOCADORA DE EQUIPAMENTOS EIRELLI;35;LOCAÇÃO;Alan / Terezinha;(31)3463-0700;(31)3463-0700;comercial@locsolo.com.br;25.469.594/0001-05;062.592.903-0048;Av. dos Andradas;5700;Esplanada;BELO HORIZONTE;MG;30285-210;NÃO;;;;;;;;;;;;
194;LOCAFAZ LOCAÇÃO DE EQUIPAMENTOS LTDA;35;LOCAÇÃO;Basílios, Isabella;(31)3383-3838 ;(31)99509-3439;basilios@locafaz.com.br, jardim@locafaz.com.br;66.271.859/0001-43;062.765.172-0074;Av. Senhora do Porto;333;Palmeiras;BELO HORIZONTE;MG;30575-590;SIM;;;;;;;;;;;;
195;LOCAN LOCADORA DE ANDAIMES E EQUIPAMENTOS PARA CONSTRUÇÃO CIVIL LTDA;35;LOCAÇÃO;Daniel;(31)3361-6422;(31)0000;daniel@locan.com.br, comercial@locan.com.br;21.944.558/0001-03;062.494.990-0004;Rua Gentil Portugal do Brasil;10;Camargos;BELO HORIZONTE;MG;30520-540;;;;;;;;;;;;;
196;LOCJÁ MÁQUINAS E FERRAMENTAS ELÉTRICAS PARA CONSTRUÇÃO LTDA;35;LOCAÇÃO;Édina;(31)3374-7230;(31)98979-5873;edina@locja.com.br;03.727.541/0001-04;062.079.463-0013;Av. Úrsula Paulino;1062;Betânia;BELO HORIZONTE;MG;30580-002;SIM;;;;;;;;;;;;
197;LOCMAQ LOCADORA DE MÁQUINAS LTDA;35;LOCAÇÃO;Sandra / Vitoria;(31)3462-5777 ;(31)99935-5777;comerciallocmaq@gmail.com;21.801.980/0001-00;062.308.103-0063;Rua Desembargador Reis Alves;460;Bairro das Industrias;BELO HORIZONTE;MG;30610-270;NÃO;;;;;;;;;;;;
201;LOMAQ LOCAÇÕES E COMERCIO LTDA;35;LOCAÇÃO;Paula Ferreira;(31)3411-2577;(31)0000;lomaq@lomaq.com.br;17.475.666/0001-07;062.022.144-0053;Av. Tereza Cristina;640;Carlos Prates;BELO HORIZONTE;MG;30710-640;;;;;;;;;;;;;
222;MAURI CAÇAMBAS LTDA;35;LOCAÇÃO;Mauro / Cleusimar;(31)3373-1135;(31)0000;mauricacamba@terra.com.br;;;Rua Lindolfo de Azevedo;1935;Jardim América;BELO HORIZONTE;MG;30421-428;NÃO;;;;;;;;;;;;
227;MG BLOCK  INDUSTRIA E COMÉRCIO LTDA;35;LOCAÇÃO / CONTAINER;José Cleydison / Alayde;(31)3686-1377 ;(31)99739-2996;mgblock@mgblock.com.br, contato@mgblock.com.br;04.815.994/0001-55;783.731.855-0060;Rua da Gameleira;1180;Centro;CONFINS;MG;33500-000;NÃO;;;;;;;;;;;;
244;ÓTIMA LOCADORA DE EQUIPAMENTOS EIRELLI;35;LOCAÇÃO;Claudilene/ Jessica;(31)3275-1818;(31)98249-6801;comercial1.mg@otimalocadora.com.br    ;20.867.365/0001-25;24144070050;Rua Mendanha;240;Padre Eustáquio;BELO HORIZONTE;MG;30;SIM;;;;;;;;;;;;
266;PROJEMAC MAQUINAS PARA CONSTRUÇÃO LTDA;35;LOCAÇÃO;Andre / Adilson;(31)3495-3004;(31)0000;projemacgeradoresbh@gmail.com;00.803.316/0001-11;62.942.774-0069;Rua Egeu;21;Minaslândia (P Maio);BELO HORIZONTE;MG;31812-120;NÃO;;;;;;;;;;;;
268;RAPIDO ANDAIMES LTDA;35;LOCAÇÃO Andaime Balacin, mini grua;Nely Carvalho;(31)3288-2015;(31)99227-1045;comercial1@rapidoandaimes.com.br;64.336.449/0001-08;062.694.586-0042;Rua Divino Mestre;80;Olhos D'Água;BELO HORIZONTE;MG;30390-560;NÃO;;;;;;;;;;;;
270;REAL GUINDASTES E EQUIPAMENTOS LTDA.;35;LOCAÇÃO;Lucas Camargos / Aline;(31)3333-5757 ;(31)97170-9401;comercial@realguindastes.com;86.528.700/0001-79;186.929.381-0088;Avenida Toronto;1629;Jardim Canada;NOVA LIMA;MG;34007-658;;;;;;;;;;;;;
292;SILMÁQUINAS E EQUIPAMENTOS LTDA;35;LOCAÇÃO;Moreira / Walmor;(31)3492-2808;(31)98658-3740;moreira@silmaquinas.com.br, walmor@silmaquinas.com.br;24.035.925/0001-36;062.569.484-0045;Avenida Portugal;4380;Itapoã;BELO HORIZONTE;MG;31710-400;SIM;;;;;;;;;;;;
319;TUPI ANDAIMES ESCOR. E FORMAS LTDA;35;LOCAÇÃO;Pedro;(31)3426-2400;(31)99178-0705;01@tupiandaimes.com.br;22.377.147/0001-38;062.507.628-0016;Av. A;825;Dist. Ind. De Fátima;SABARA;MG;34590-395;NÃO;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;36;LOUÇA SANITÁRIA;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
284;CASA ÚNICA MATERIAIS PARA CONSTRUÇÃO LTDA;36;LOUÇA SANITÁRIA;Vanderlan / Claudio;(31)2126-1000 ;(31)99994-3031;vanderlan.miranda@santacruzacabamentos.com.br;25.618.174/0001-43;062.017.715-0091;Av. Presidente Carlos Luz;2000F;Aparecida;BELO HORIZONTE;MG;31250-810;SIM;;;;;;;;;;;;
69;CASTRO REPRESENTAÇOES LTDA;36;LOUÇA SANITÁRIA;Marcão;(31)3278-1050  ;(31)98876-8985;marcao@grupocore.com.br;71.110.670/0001-09;;Rua Vereador Socrates Alves Pereira;531;Carlos Prates;Belo Horizonte;MG;30710-590;NÃO;;;;;;;;;;;;
61;CEMACON MATERIAIS DE CONSTRUÇÃO LTDA;36;LOUÇA SANITÁRIA;Calisto;(31)3201-6266;(31)997559831;contato.cemacon@gmail.com;01.590.163/0001-34;062.336.639-0050;Av. D. Pedro II;1100;Bonfim;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
74;CNR MATERIAIS DE CONSTRUÇÕES LTDA;36;LOUÇA SANITÁRIA;Ana Claudia / Ferreira;(31)3392-7272;(31)99948-9915;contagem@cnr.com.br;13.556.759/0010-98;001.764.345-0870;Via Expressa;2.525;Água Branca;CONTAGEM;MG;32370-485;SIM;;;;;;;;;;;;
337;KOHLER PRODUTOS PARA COZINHA E BANHEIROS ;36;LOUÇA SANITÁRIA;Marcão;(31)3278-1050  ;(31)98876-8985;marcao@grupocore.com.br;20.373.585/0004-45;;Av. Vereador Prof Paulo Afonso de Lima;1200;Rochelo;ANDRADAS;MG;37795-000;NÃO;;;;;;;;;;;;
223;MBLB COMERCIO DE ACABAMENTOS LTDA;36;LOUÇA SANITÁRIA;Monica Baratz / Bárbara;(31)3308-8188 ;(31)99611-3484;belissimo@belissimovallve.com.br, barbara@belissimovallve.com.br;05.016.166/0001-10;062.176.692-0070;Rua do Uruguai;284;Sion;BELO HORIZONTE;MG;30310-300;;;;;;;;;;;;;
239;NADIL MATERIAIS DE CONSTRUÇÃO LTDA;36;LOUÇA SANITÁRIA;Igor / Rafael;(31)3491-7116 ;(31)99500-7272;gerencia.nadil@gmail.com, contato@pampulhaacabamentos.com.br;42.867.887/0001-60;062.817.514-0088;Rua Dr. Jeferson de Oliveira;311;Santa Amélia;BELO HORIZONTE;MG;31560-230;SIM;;;;;;;;;;;;
259;PONTO DO AZULEJO LTDA;36;LOUÇA SANITÁRIA;Geraldo (Dino);(31)3419-9400;(31)99253-7848;dino@pontodoazulejo.com.br;65.310.633/0001-41;062.748.265-0015;Avenida Abilio Machado;1415;Alipio de Melo;BELO HORIZONTE;MG;30830-440;SIM;;;;;;;;;;;;
312;TERRA REVESTIMENTOS LTDA;36;LOUÇA SANITÁRIA;Carlos / Joselei;(31)3286-4650 ;(31)99742-5551;vendas@tile.com.br;38.700.985/0001-30; 062.196.071-0000;Rua Outono;81;Carmo;BELO HORIZONTE;MG;30310-020;SIM;;;;;;;;;;;;
8;AFS EQUIPAMENTOS LTDA;37;MÁQUINA E EQUIPAMENTO;Cláudia;(31)3491-5004 ;(31)9977-40626;afsequipamentosmg@gmail.com;22.895.440/0001-97;259.850-0074;Rua Alves de Brito;250;Santa Cruz;BELO HORIZONTE;MG;31155-340;NÃO;;;;;;;;;;;;
51;CABOS DE AÇO BH LTDA;37;MÁQUINA E EQUIPAMENTO (cabo de aço, corrente, fita de amarração e elevação normatizada, cordas de poliamida);Roberta / Humberto;(31)3201-1327 ;(31)98378-0550;robertacosta0419@gmail.com;40.688.703/0001-79;003.960.959-0020;Avenida Dom Pedro II;780;Carlos Prates;BELO HORIZONTE;MG;30710-010;SIM;;;;;;;;;;;;
56;CASA DO LUBRIFICANTE LTDA;37;MÁQUINA E EQUIPAMENTO;Ademar, Leila;(31)3492-9390;(31)0000;vendas04@casadolubrificante.net.br  ;03.932.619/0001-22;062.106.110-0056;Rua Major Delfino de Paula;2614;São Francisco;BELO HORIZONTE;MG;31255-170;SIM;;;;;;;;;;;;
87;COMERCIAL MINEIRA DE  MAQUINAS LTDA;37;MÁQUINA E EQUIPAMENTO;Bruno, Moraes;(31)3271-7300 ;(31)99264-4346;cruz@comercialmineira.com.br;20.009.908/0003-35;062.440.881-0141;Rua Araguari;154;Barro Preto;BELO HORIZONTE;MG;30190-110;SIM;;;;;;;;;;;;
123;EQUIPAMENTOS AC LTDA;37;MÁQUINA E EQUIPAMENTO;Paulo Marra / Egídio;(31)3212-3933 ;(31)99552-2203;vendas@equipamentosac.com.br;21.087.804/0001-40;062.291.381-0070;Avenida Dom Pedro II;1190;Bonfim;BELO HORIZONTE;MG;31210-442;SIM;;;;;;;;;;;;
149;FRIOMINAS MAQUINAS REPRESENTAÇÕES LTDA;37;MÁQUINA E EQUIPAMENTO;Sivaldo Jorge / Ricardo Luiz;(31)3469-1200;(31))99947-7755;sivaldo@friominas.com.br, rick@friominas.com.br;17.249.095/0001-84;062.001.646-0048;Av. Dom Pedro II;2400 / 2410;Carlos Prates;BELO HORIZONTE;MG;30760-462;SIM;;;;;;;;;;;;
157;GRAÇA COMERCIO E REPRESENTAÇÕES LTDA;37;MÁQUINA E EQUIPAMENTO;Henrique / Alexandre;(31)3291-6833 ;(31)97544-3820;alexandre@gracabombas.com.br;17.252.008/0001-48;062.000.502-0009;Avenida Franscisco Sá;593;Prado;BELO HORIZONTE;MG;30411-174;SIM;;;;;;;;;;;;
178;INTERCABOS INDUSTRIAL E COMERCIAL LTDA;37;MÁQUINA E EQUIPAMENTO;José Guilherme / Wanderley;(31)2519-5400 ;(31)97147-3643;diretoria@intercabos.com.br, intercabos@intercabos.com.br;01.402.461/0001-53;062.197.897-0071;Rua Magnólia;767;Pedro II;BELO HORIZONTE;MG;30770-020;SIM;;;;;;;;;;;;
183;JAIR OLEOS;37;MÁQUINA E EQUIPAMENTO;Daniel / Rayssa;(31)3295-3033;(31)0000;contato@jairoleos.com.br;;;;;;;;;;;;;;;;;;;;;
292;SILMÁQUINAS E EQUIPAMENTOS LTDA;37;MÁQUINA E EQUIPAMENTO;Moreira / Walmor;(31)3492-2808;(31)98658-3740;moreira@silmaquinas.com.br, walmor@silmaquinas.com.br;24.035.925/0001-36;062.569.484-0045;Avenida Portugal;4380;Itapoã;BELO HORIZONTE;MG;31710-400;SIM;;;;;;;;;;;;
293;SM LUBRIFICANTES LTDA;37;MÁQUINA E EQUIPAMENTO;Simone;(31)3427-4030 / 99585-5248;(31)0000;;;;;;;;;;;;;;;;;;;;;;
297;SOS DOS FOGÕES LTDA;37;MÁQUINA E EQUIPAMENTO;Wagner / Fernanda;(31)3071-5000 ;(31)98405-1603;vendas@sosdosfogoes.com.br;16.614.265/0001-10;062.206.460-0034;Av. Olegario Maciel ;79;Centro;BELO HORIZONTE;MG;30180-110;NÃO;;;;;;;;;;;;
304;TECNI-AR COMERCIO E MANUTENÇÃO LTDA;37;MÁQUINA E EQUIPAMENTO;Luiz;(31)3361-2584;(31)0000;tecni-ar@tecni-ar.com.br;22.715.684/0001-40;186.544.211-0020;Av. Coronel Jove Soares Nogueira;1425  Lj 11;Granja Lempp;CONTAGEM;MG;32265-140;;;;;;;;;;;;;
306;TECNOBOMBAS LTDA;37;MÁQUINA E EQUIPAMENTO (Manutenção);Elton / Marco Aurélio ;(31)3201-6132;(31)99430-5851;tecnobombasltda@hotmail.com;17.336.546/0001-10;;Rua Anfibolios;253;Bonfim;BELO HORIZONTE;MG;31210-440;NÃO;;;;;;;;;;;;
121;TOTAL AR LTDA - ME  ;37;MÁQUINA E EQUIPAMENTO;Marcellus;(31)3464-7644;(31)0000;comercial4@emaccomercial.com.br, marcellus@emaccomercial.com.br;24.996.733/0001-96;083.176.25-0;Rua Nestor Guisso  - Box 02;408;Boa Vista II;SERRA;ES;29161-019;SIM;;;;;;;;;;;;
25;ARDOGAMA PEDRAS DECORATIVAS LTDA;38;MÁRMORE E GRANITO;Rogério Gama;(31)3373-1220 ;(31)98673-0137;ardogama@hotmail.com;25.850.751./0001-28;062.626.869-0078;Av. Barão Homem de Melo ;2115;Jardim América-Vila Alpes;BELO HORIZONTE;MG;30450-250;SIM;;;;;;;;;;;;
38;BARACHO PEDRAS INDUSTRIA E COMERCIO LTDA;38;MÁRMORE E GRANITO;Carlos / Eliete;(31)3462-3256 ;(31)99213-6546;gerencia@barachopedras.com.br, eliete@barachopedras.com.br ;22.354.450/0001-15;062.507.196-0094;Rua Jacutinga;44;Padre Eustáquio;BELO HORIZONTE;MG;30730-430;SIM;;;;;;;;;;;;
298;DMENEZES;38;MÁRMORE E GRANITO;Daniel;(31)3225-2170 ;(31)99270-0002;dmpedras@gmail.com ;;;Rua Grajaú;32;Anchieta;BELO HORIZONTE;MG;30310-480;;;;;;;;;;;;;
105;FC MÁRMORES E GRANITOS EIRELE;38;MÁRMORE E GRANITO;Paulo ;(31)3371-0700;(31)98388-8369;vendas1@delreipedras.com.br;14.286.754/0001-64;001.839.072-0051;Avenida Silva Lobo;444;Calafate;BELO HORIZONTE;MG;30411-450;SIM;;;;;;;;;;;;
174;INDAIÁ MÁRMORES E GRANITOS LTDA;38;MÁRMORE E GRANITO;Magela / Chico;(31) 3371.0122 ;(31)99967-6692;indaiagranitos@gmail.com, franciscovinhal@gmail.com;04.156.645/0001-79;062.110.157-0007;Rua Monte Simplon;18 A;Gameleira;BELO HORIZONTE;MG;30480-530;SIM;;;;;;;;;;;;
218;MARMORARIA CONCRETO LTDA;38;MÁRMORE E GRANITO;Ricardo ;(31)3485-0677;(31)98696-0112;;45.198.002/0001-75;004.263.678-0017;Av. Itaituba;15;Boa Vista ;BELO HORIZONTE;MG;31060-427;SIM;;;;;;;;;;;;
237;MURALHA MARMORES E GRANITOS LTDA;38;MÁRMORE E GRANITO;João Bosco ;(31)3541-8518 ;(31)99311-1212;mmgltda@yahoo.com.br;04.806.807/0001-77;448.157.848-0037;Rua Potamy;180;Jardim Canadá;NOVA LIMA;MG;34007-798;;;;;;;;;;;;;
250;PEDRARTE LTDA;38;MÁRMORE E GRANITO;Guilherme;(31)3461-4493 ;(31)3461-4493;contato@pedrarte.com.br;21.057.054/0001-63;062.444.245-0004;Av. dos Andradas;3200;Santa Efigenia;BELO HORIZONTE;MG;30260-070;SIM;;;;;;;;;;;;
251;PEDRAS VITÓRIA EIRELLI;38;MÁRMORE E GRANITO;Emilio Carlos / Mariluz;(31)3541-5961 ;(31)98626-1425;financeiro@pedrasvitoriabh.com.br;05.275.373/0001-99;448.214.903-0073;Av. Toronto;1000;Jardim Canadá;NOVA LIMA;MG;34007-658;SIM;;;;;;;;;;;;
289;SHOPPING PEDRAS LTDA;38;MÁRMORE E GRANITO;Rose / Gislaine;(31)3495-1103 ;(31)99131-8288;shpedras@yahoo.com.br;71.078.067/0001-97;062.846.680-0025;Av. Dom Pedro I;2062;Planalto;BELO HORIZONTE;MG;31720-000;;;;;;;;;;;;;
40;ACABAMENTOS BEL LAR LTDA;39;METAL SANITÁRIO E ACESSÓRIO;André ;(31)3297-0022;(31)99613-1292;andre@bellar.com.br;17.311.465/0001-66;062.012.734-0059;Rua Nossa senhora de Lourdes;441    Galpão 09 e 10;Olhos D'agua;BELO HORIZONTE;MG;30.390-530;SIM;;;;;;;;;;;;
59;CASA FERREIRA GONÇALVES LTDA;39;METAL SANITÁRIO E ACESSÓRIO;Sebastião / Fernando;(31)3071-2205 ;(31)98473-1514;fernandohenrique@cfg.com.br;17.250.275/0003-48;062.003.469-0823;Rua Jornalista Zoltan Gluek;93;Cidade Industrial;CONTAGEM;MG;32.210-090;SIM;;;;;;;;;;;;
